guid,text_a,label
0,help,unresolvedintent
1,uyshg,unresolvedintent
2,qwerty,unresolvedintent
3,exit now will do tomorrow,unresolvedintent
4,Exit,unresolvedintent
5,bla,unresolvedintent
6,Help,unresolvedintent
7,exit,unresolvedintent
8,expense miles,create_expense
9,"Parking fee at snacks bar, $10",create_expense
10,file my expense,create_expense
11,Meal $20 on 5th May,create_expense
12,$12 paid for parking,create_expense
13,air 925,create_expense
14,taxi on feb 2nd,create_expense
15,create,create_expense
16,"Dinner $30 , at Leela palace yesterday",create_expense
17,create taxi expense today,create_expense
18,"parking charges at hospital, $10",create_expense
19,Parking 7/7/18 $20,create_expense
20,create claim,create_expense
21,Taxi ride from home to airport for $60 under Other Transportation please,create_expense
22,Parking garage for 20,create_expense
23,8.36$ sep4 meals,create_expense
24,merchant is abcd,create_expense
25,tolls bill $21,create_expense
26,Parking $20 on 5/1/2018,create_expense
27,Lunch from subway $20,create_expense
28,Pay and park $10,create_expense
29,Expense train,create_expense
30,Took a taxi to office $50  yesterday,create_expense
31,Parking $20,create_expense
32,i had a breakfast,create_expense
33,Taxi from home to city 20,create_expense
34,Add taxi expense for $20 on 5/6,create_expense
35,"Penalty at no parking area, $500",create_expense
36,Breakfast at McDonald's $10,create_expense
37,diesel for my vehicle 8$,create_expense
38,Starbucks 20 today,create_expense
39,taxi  for sunday 29$,create_expense
40,create my taxi expense,create_expense
41,expense my receipt,create_expense
42,"Fee for parking space at hotel, today",create_expense
43,Valet $20,create_expense
44,I paid 20 dollars for taxi on 2nd May,create_expense
45,"Parking July 7, 2018 $20",create_expense
46,Parking $20 today,create_expense
47,Create parking expense for 20 on 5/2,create_expense
48,Parking $20 on 5th May,create_expense
49,create exp 40usd,create_expense
50,log a expense,create_expense
51,I want to file Travel expense,create_expense
52,send this,create_expense
53,Took a $30 taxi ride to the Airport (CDG),create_expense
54,"$30 for taxi from airport to office at Newyork, USA",create_expense
55,Taxi $20 today,create_expense
56,meals,create_expense
57,Create meal expense for 20 on 5/2,create_expense
58,"Cab charges $50 , Today",create_expense
59,create my expense $23 yesterday,create_expense
60,create a 29,create_expense
61,taxi expense for 4 Eur,create_expense
62,Expense my train to the city,create_expense
63,Petrol for my vehicle today,create_expense
64,29$,create_expense
65,"Parking fee $10 at Leela Palace, yesterday",create_expense
66,Lyft 20 today,create_expense
67,Can you please add dinner expense $30,create_expense
68,$20 spend as meal charges,create_expense
69,Ate sandwich for 20 dollar,create_expense
70,I want to expense something,create_expense
71,Restaurant bill $20,create_expense
72,Uber for 20 from home to city,create_expense
73,taxi on Jan 4th,create_expense
74,Diesel for my vehicle for 7$,create_expense
75,Meal $20 on 5/1/2018,create_expense
76,file yesterdays expense,create_expense
77,Upload Receipt,create_expense
78,create a 21.46$ expense for eating,create_expense
79,Meal $20 today,create_expense
80,Tea and snacks yesterday $2,create_expense
81,Buffet charges $20,create_expense
82,taxi expense for 5 Yen,create_expense
83,I paid 20 dollars for parking,create_expense
84,BART parking $20,create_expense
85,Parking fee $5 at hotel during lunch time,create_expense
86,I paid $20 for taxi today,create_expense
