guid,text_a,label
0,can i get a reimbursement for the balance amount after a cashless treatment,int_hlth_claimreimbsmnt_aftercshless
1,can i get balance amount reimbursed after cashless treatment,int_hlth_claimreimbsmnt_aftercshless
2,is reimbursement for the balance amount possible after cashless treatement,int_hlth_claimreimbsmnt_aftercshless
3,do you give reimbursement for the balance amount after receiving cashless treatment,int_hlth_claimreimbsmnt_aftercshless
4,If I am Eligible to get Home Insurance,int_hous_eligb_criteria
5,What are the eligibility criteria to buy a home insurance,int_hous_eligb_criteria
6,Eligibility to Get Home Insurance,int_hous_eligb_criteria
7,Homeowner's Insurance Eligibility Criteria,int_hous_eligb_criteria
8,eligible eligibility criteria insuarnce,int_hous_eligb_criteria
9,Am i eligible to get insurance,int_hous_eligb_criteria
10,If I am Eligible to get HouseInsurance,int_hous_eligb_criteria
11,Home Insurance Eligibility Criteria,int_hous_eligb_criteria
12,antique and coin covered,int_fire_antique
13,Does this policy cover old coins,int_fire_antique
14,Will fire ploicy cover old pieces,int_fire_antique
15,is there coverage for antique old items coins,int_fire_antique
16,Do you provide coverage in case antiques and coins are stolen or destroyed?,int_fire_antique
17,Are antiques and coins covered,int_fire_antique
18,are club agents allowed to inspect the vehicles,int_agnt_inspect_vehicles
19,does NIA allow club agents to inspect vehicles,int_agnt_inspect_vehicles
20,can club agents inspect vehicles,int_agnt_inspect_vehicles
21,are dental treatments covered in your policies,int_hlth_dental_issues
22,does nia cover dental treatments,int_hlth_dental_issues
23,do you cover dental treatments,int_hlth_dental_issues
24,does your policy cover dental treatments,int_hlth_dental_issues
25,can I get policy coverage for dental treatment,int_hlth_dental_issues
26,what is the coverage for diabetes treatment,int_hlth_diabetic_policy
27,can I take a policy if i have diabetes,int_hlth_diabetic_policy
28,does your policy cover diabetes treatments,int_hlth_diabetic_policy
29,does nia cover diabetics,int_hlth_diabetic_policy
30,do you cover diabetes treatments,int_hlth_diabetic_policy
31,can I get policy coverage for diabetes treatment,int_hlth_diabetic_policy
32,can i get diagnostic expenses,int_hlth_diagnostic_charges_covrg
33,are diagnostic expenses covered in your policies,int_hlth_diagnostic_charges_covrg
34,what is the coverage for diagnostic expense,int_hlth_diagnostic_charges_covrg
35,do you cover diagnostic expenses,int_hlth_diagnostic_charges_covrg
36,Is discount available for long term policies for dwellings,int_fire_long_dwelling_disc
37,Are discounts available for long term policy coverage  for apartments,int_fire_long_dwelling_disc
38,Are discounts available for long term policies for dwellings,int_fire_long_dwelling_disc
