guid,text_a,label
0,enter time for my,unresolvedintent
1,enter time,unresolvedintent
2,enter my time,unresolvedintent
3,enter time,unresolvedintent
4,enter time,unresolvedintent
5,enter time,unresolvedintent
6,enter time,unresolvedintent
7,yes,unresolvedintent
8,exit,unresolvedintent
9,enter time,unresolvedintent
10,enter my time,unresolvedintent
11,enter time,unresolvedintent
12,exit,unresolvedintent
13,enter time for my,unresolvedintent
14,enter time,unresolvedintent
15,enter time,unresolvedintent
16,enter time,unresolvedintent
17,help,unresolvedintent
18,enter time,unresolvedintent
19,enter time,unresolvedintent
20,enter my time,unresolvedintent
21,enter time,unresolvedintent
22,yes,unresolvedintent
23,enter time,unresolvedintent
24,exit,unresolvedintent
25,enter time,unresolvedintent
26,help,unresolvedintent
27,enter time,unresolvedintent
28,yes,unresolvedintent
29,enter time,unresolvedintent
30,enter my time,unresolvedintent
31,enter my time,unresolvedintent
32,enter time,unresolvedintent
33,enter time,unresolvedintent
34,enter time,unresolvedintent
35,help,unresolvedintent
36,enter time,unresolvedintent
37,help,unresolvedintent
38,enter time for my,unresolvedintent
39,enter my time,unresolvedintent
40,enter my time,unresolvedintent
41,enter my time,unresolvedintent
42,enter my time,unresolvedintent
43,enter time for my,unresolvedintent
44,enter time,unresolvedintent
45,yes,unresolvedintent
46,enter time,unresolvedintent
47,enter my time,unresolvedintent
48,enter time for my,unresolvedintent
49,yes,unresolvedintent
50,enter time,unresolvedintent
51,enter time for my,unresolvedintent
52,exit,unresolvedintent
53,enter time,unresolvedintent
54,show tasks next week,list_project_tasks
55,list tasks for today,list_project_tasks
56,list of overdue tasks,list_project_tasks
57,List tasks for project molding,list_project_tasks
58,what's my day like,list_project_tasks
59,list my task,list_project_tasks
60,Show me overdue tasks,list_project_tasks
61,List tasks for project radio,list_project_tasks
62,show my past due tasks,list_project_tasks
63,LIST MY WORK,list_project_tasks
64,show my past due tasks,list_project_tasks
65,show my past due tasks,list_project_tasks
66,What tasks do I have,list_project_tasks
67,show my tasks for project,list_project_tasks
68,pending tasks,list_project_tasks
69,LIST MY WORK,list_project_tasks
70,tasks that are pending,list_project_tasks
71,list of overdue tasks,list_project_tasks
72,tasks pending for me,list_project_tasks
73,show my past due tasks,list_project_tasks
74,List tasks for project horn,list_project_tasks
75,tasks pending for me,list_project_tasks
76,list tasks for project tomorrow,list_project_tasks
77,list tasks for project tomorrow,list_project_tasks
78,list of overdue tasks,list_project_tasks
79,pending tasks,list_project_tasks
80,pending tasks,list_project_tasks
81,list tasks for today,list_project_tasks
82,list my task,list_project_tasks
83,What's my day like,list_project_tasks
84,show tasks next week,list_project_tasks
85,Show me overdue tasks,list_project_tasks
86,List tasks for project Starter,list_project_tasks
87,List tasks for project rims,list_project_tasks
88,what's my day like,list_project_tasks
89,what's my day like,list_project_tasks
90,pending tasks,list_project_tasks
91,What tasks do I have,list_project_tasks
92,List overdue tasks,list_project_tasks
93,Tasks that are pending,list_project_tasks
94,List tasks for project rims,list_project_tasks
95,Tasks that are pending,list_project_tasks
96,What's my day like,list_project_tasks
97,list of overdue tasks,list_project_tasks
98,Tasks that are pending,list_project_tasks
99,List tasks for project radio,list_project_tasks
100,list my task,list_project_tasks
101,show my past due tasks,list_project_tasks
102,tasks overdue,list_project_tasks
103,List overdue tasks,list_project_tasks
104,What tasks do I have,list_project_tasks
105,show me overdue tasks,list_project_tasks
106,show my past due tasks,list_project_tasks
107,show all tasks,list_project_tasks
108,show me overdue tasks,list_project_tasks
109,list tasks for project this week,list_project_tasks
110,What tasks do I have,list_project_tasks
111,What tasks do I have,list_project_tasks
112,list tasks for today,list_project_tasks
113,list my task,list_project_tasks
114,show my tasks for project,list_project_tasks
115,tasks pending for me,list_project_tasks
116,Show me overdue tasks,list_project_tasks
117,show tasks next week,list_project_tasks
118,tasks pending for me,list_project_tasks
119,over due tasks,list_project_tasks
120,pending tasks,list_project_tasks
121,Tasks that are pending,list_project_tasks
122,list of overdue tasks,list_project_tasks
123,show my past due tasks,list_project_tasks
124,show my past due tasks,list_project_tasks
