guid,text_a,label
0,Can I speak to a human?,agent_
1,Would like to talk to support,agent_
2,an agent please,agent_
3,I would like to speak to an agent.,agent_
4,Agent please,agent_
5,Support please,agent_
6,Please transfer me to an agent.,agent_
7,Agent?,agent_
8,I want to add an appointment,apptsetup_
9,I need an appoitment,apptsetup_
10,Can I book a time for Vision + Goals coaching,apptsetup_
11,What time can I make an appointment,apptsetup_
12,Can I setup an appoitment,apptsetup_
13,I need help with shopping,apptsetup_
14,What time I can come,apptsetup_
15,Do you offer personal shopping,apptsetup_
16,What times do you have available,apptsetup_
17,schedule an appointment,apptsetup_
18,Can I book an appoitment,apptsetup_
19,What times do you have available for an appointment,apptsetup_
20,Personal shopper,apptsetup_
21,Do you offer personal shooping,apptsetup_
22,I need some help,apptsetup_
23,Can I setup an appoitment,apptsetup_
24,cancel my oder,cancelorder_
25,i don't want my pants that I ordered,cancelorder_
26,I do not want my last order,cancelorder_
27,returning order,cancelorder_
28,Can you cancel my order please,cancelorder_
29,I do not want my previous order,cancelorder_
30,return order,cancelorder_
31,I wish to cancel my last order,cancelorder_
32,returning my last order,cancelorder_
33,I want to take some yoga course,community_
34,Show me your yoga courses,community_
35,Show me your yoga course,community_
36,List of events,community_
37,I am looking for a list of events nearby,community_
38,I want to take some pilates,community_
39,I want to take part in your run class,community_
40,show me all yoga classes,community_
41,I am coming in from out of town. What will the temperature be like that weekend?,retailfaq_
42,When and what streets will be closed during the race?,retailfaq_
43,Who do I contact with my questions?,retailfaq_
44,Is there a fee?,retailfaq_
45,Where can I park for the race?,retailfaq_
46,Can I bring a friend to the concert or yoga portion of the expo?,retailfaq_
47,When is the 2017 Lululemon SeaWheeze Half Marathon?,retailfaq_
48,Where is the Lululemon expo this year?,retailfaq_
49,Where is the expo?,retailfaq_
50,Is there a fee for the SeaWheeze Half Marathon?,retailfaq_
51,How many runners will there be in the race?,retailfaq_
52,When does registration open for SeaWheeze 2017?,retailfaq_
53,Can I bring a friend to the yoga portion of the expo?,retailfaq_
54,Is there an expo with the race?,retailfaq_
55,Who do I contact if I have a question?,retailfaq_
56,Is there a specific charity associated with the SeaWheeze this year?,retailfaq_
57,Is there an expo?,retailfaq_
58,Who should I contact with my questions?,retailfaq_
59,Can I bring a friend to the concert?,retailfaq_
